Luminosité (%),Min (0-1023),Max (0-1023),Distance (cm),Température,Humidité (%)
79,641,874,59,23.10,45
78,664,929,70,20.20,36
3,627,929,67,23.10,46
49,614,913,52,23.60,35
18,715,914,50,18.80,42
95,695,890,62,23.30,34
54,749,912,50,24.60,44
14,673,870,64,21.10,49
42,688,938,61,23.10,41
57,627,862,66,21.30,31
96,667,919,59,22.80,38
63,681,920,56,24.30,42
37,712,884,68,23.50,44
92,699,872,54,19.20,37
96,741,941,68,23.50,46
33,655,860,58,23.60,30
0,616,895,56,23.90,39
24,664,929,66,24.20,36
18,676,913,67,21.50,34
50,636,891,57,24.30,49
28,612,880,61,21.50,32
73,637,942,64,18.50,43
79,601,930,52,22.90,34
74,742,879,72,22.20,32
68,613,866,73,24.60,35
66,620,929,65,23.90,47
50,742,925,53,24.40,41
7,602,862,65,23.40,34
56,640,860,68,24.20,42
86,618,934,54,20.70,42
